,Movie,Release Year,Certification,Duration,Genre,Imdb,Metascore,Votes
158," Love, Death & Robots",(2019– ),TV-MA,18 min,"Animation, Short, Comedy",7.9,Not Available,"6,382"
159,Music,(2021),PG-13,107 min,"Drama, Musical",3.1,23,"6,370"
160,Joji,(2021),Not Available,113 min,"Crime, Drama",7.9,Not Available,"6,361"
161,Bang Baang,(2021– ),Not Available,18 min,"Action, Thriller",6.9,Not Available,"6,311"
162,Clarice,(2021– ),TV-14,60 min,"Crime, Drama, Mystery",6.5,Not Available,"6,293"
163," Love, Death & Robots",(2019– ),TV-MA,13 min,"Animation, Short, Comedy",6.1,Not Available,"6,288"
164,SAS: Red Notice,(2021),R,124 min,"Action, Thriller",4.9,Not Available,"6,227"
165,Fatma,(2021– ),TV-MA,40 min,"Crime, Drama, Thriller",7.5,Not Available,"6,221"
166,Sky Rojo,(2021– ),TV-MA,31 min,"Action, Adventure, Crime",6.5,Not Available,"6,196"
167,Tell Me Your Secrets,(I) (2021– ),TV-14,Not Available,"Crime, Drama, Mystery",7.4,Not Available,"6,170"
168,Snabba Cash,(2021– ),TV-MA,52 min,"Action, Crime, Drama",7.6,Not Available,"6,125"
169,Sherni,(2021),Not Available,131 min,Drama,7.0,Not Available,"6,123"
170, Invincible,(2021– ),TV-MA,47 min,"Animation, Action, Adventure",9.0,Not Available,"6,112"
171,Walker,(2021– ),TV-14,Not Available,"Action, Crime, Drama",5.9,Not Available,"6,101"
172,Sunflower,(2021– ),Not Available,36 min,"Comedy, Crime",7.7,Not Available,"6,030"
173, The Walking Dead,(2010–2022),TV-14,43 min,"Drama, Horror, Thriller",4.1,Not Available,"6,022"
174,The Ice Road,(2021),PG-13,109 min,"Adventure, Drama, Thriller",5.5,41,"5,995"
175, Aspirants,(2021– ),Not Available,38 min,Drama,9.6,Not Available,"5,923"
176, The New York Times Presents,(2020– ),TV-MA,74 min,Documentary,6.9,Not Available,"5,911"
177,The Mosquito Coast,(2021– ),TV-MA,Not Available,"Adventure, Drama, Thriller",7.0,Not Available,"5,881"
178,Jathi Ratnalu,(2021),Not Available,145 min,Comedy,7.6,Not Available,"5,873"
179,Allen v. Farrow,(2021),TV-MA,256 min,"Documentary, Biography, Crime",6.4,Not Available,"5,856"
180, The Family Man,(2019– ),TV-14,Not Available,"Action, Comedy, Drama",9.3,Not Available,"5,815"
181,Billie Eilish: The World's a Little Blurry,(2021),R,140 min,"Documentary, Biography, Music",7.8,70,"5,815"
182,The Hitman's Wife's Bodyguard,(2021),R,100 min,"Action, Comedy, Crime",6.5,32,"5,730"
183,The Pembrokeshire Murders,(2021),TV-14,144 min,"Crime, Drama",7.1,Not Available,"5,709"
184," Love, Death & Robots",(2019– ),TV-MA,7 min,"Animation, Short, Comedy",7.4,Not Available,"5,704"
185,Crisis,(2021),R,118 min,"Drama, Thriller",6.1,40,"5,695"
186, Aspirants,(2021– ),Not Available,49 min,Drama,9.8,Not Available,"5,694"
187,Pretend It's a City,(2021),TV-14,203 min,"Documentary, Biography, Comedy",8.1,Not Available,"5,670"
188,The Great Indian Kitchen,(2021),Not Available,100 min,"Comedy, Drama",8.3,Not Available,"5,594"
189, The Walking Dead,(2010–2022),TV-MA,40 min,"Drama, Horror, Thriller",5.1,Not Available,"5,587"
190," Love, Death & Robots",(2019– ),TV-MA,11 min,"Animation, Short, Comedy",7.0,Not Available,"5,578"
191,Dracula,(2021– ),Not Available,Not Available,"Comedy, Drama",8.7,Not Available,"5,525"
192,The Sons of Sam: A Descent into Darkness,(2021),TV-MA,239 min,"Documentary, Crime, History",7.0,Not Available,"5,451"
193, Aspirants,(2021– ),Not Available,45 min,Drama,9.7,Not Available,"5,433"
194," Love, Death & Robots",(2019– ),TV-MA,13 min,"Animation, Short, Comedy",7.0,Not Available,"5,412"
195, Broken But Beautiful,(2018– ),Not Available,Not Available,"Drama, Romance",9.6,Not Available,"5,400"
196,Young Rock,(2021– ),TV-PG,Not Available,Comedy,7.1,Not Available,"5,288"
197,Krack,(2021),Not Rated,154 min,"Action, Crime, Thriller",7.3,Not Available,"5,274"
198," Love, Death & Robots",(2019– ),TV-MA,13 min,"Animation, Short, Comedy",6.6,Not Available,"5,230"
199,November Story,(2021– ),Not Available,40 min,"Crime, Thriller",8.0,Not Available,"5,219"
200,The Last Hour,(2021– ),Not Available,36 min,"Crime, Drama, Mystery",7.5,Not Available,"5,201"
201, Invincible,(2021– ),TV-MA,46 min,"Animation, Action, Adventure",9.3,Not Available,"5,198"
202,Made for Love,(2021– ),TV-MA,30 min,"Comedy, Drama, Sci-Fi",6.9,Not Available,"5,130"
203,Hacks,(2021– ),TV-MA,30 min,"Comedy, Drama",8.3,Not Available,"5,112"
204,The Priest,(I) (2021),Not Available,140 min,"Horror, Mystery, Thriller",6.6,Not Available,"5,034"
205,Maharani,(2021– ),Not Available,43 min,Drama,7.5,Not Available,"4,972"
206, Broken But Beautiful,(2018– ),Not Available,Not Available,"Drama, Romance",9.5,Not Available,"4,849"
207, Invincible,(2021– ),TV-MA,44 min,"Animation, Action, Adventure",8.6,Not Available,"4,815"
208, Rick and Morty,(2013– ),TV-14,Not Available,"Animation, Adventure, Comedy",9.2,Not Available,"4,810"
209, The Walking Dead,(2010–2022),TV-MA,44 min,"Drama, Horror, Thriller",6.2,Not Available,"4,797"
210,Flora & Ulysses,(2021),PG,95 min,"Adventure, Comedy, Family",6.3,62,"4,786"
211, Jujutsu Kaisen,(2020– ),TV-MA,24 min,"Animation, Action, Adventure",9.7,Not Available,"4,778"
212, The Walking Dead,(2010–2022),TV-MA,42 min,"Drama, Horror, Thriller",7.3,Not Available,"4,748"
213, Broken But Beautiful,(2018– ),Not Available,Not Available,"Drama, Romance",9.6,Not Available,"4,735"
214, Broken But Beautiful,(2018– ),Not Available,Not Available,"Drama, Romance",9.8,Not Available,"4,718"
215, Broken But Beautiful,(2018– ),Not Available,Not Available,"Drama, Romance",9.8,Not Available,"4,684"
216, Broken But Beautiful,(2018– ),Not Available,Not Available,"Drama, Romance",9.6,Not Available,"4,671"
217,Murder Among the Mormons,(2021),TV-14,160 min,"Documentary, Crime, History",7.0,Not Available,"4,650"
218, Broken But Beautiful,(2018– ),Not Available,Not Available,"Drama, Romance",9.5,Not Available,"4,632"
219, Broken But Beautiful,(2018– ),Not Available,Not Available,"Drama, Romance",9.7,Not Available,"4,628"
220, Broken But Beautiful,(2018– ),Not Available,Not Available,"Drama, Romance",9.6,Not Available,"4,618"
221, Broken But Beautiful,(2018– ),Not Available,Not Available,"Drama, Romance",9.6,Not Available,"4,618"
222,The Legend of Hanuman,(2021– ),Not Available,25 min,Animation,9.4,Not Available,"4,607"
223, The Walking Dead,(2010–2022),TV-MA,48 min,"Drama, Horror, Thriller",7.5,Not Available,"4,574"
224, Invincible,(2021– ),TV-MA,42 min,"Animation, Action, Adventure",8.3,Not Available,"4,524"
225,50M2,(2021– ),TV-MA,45 min,"Comedy, Drama, Thriller",7.0,Not Available,"4,498"
226,Invisible City,(2021– ),TV-G,60 min,"Crime, Drama, Fantasy",7.4,Not Available,"4,484"
227, Mare of Easttown,(2021),TV-MA,57 min,"Crime, Drama, Mystery",9.4,Not Available,"4,455"
228,Crazy About Her,(2021),TV-MA,102 min,"Comedy, Romance",6.6,Not Available,"4,451"
229, Cobra Kai,(2018– ),TV-14,41 min,"Action, Comedy, Drama",9.5,Not Available,"4,446"
230,Cruel Summer,(2021– ),TV-14,45 min,"Drama, Mystery, Thriller",7.5,Not Available,"4,442"
231, Invincible,(2021– ),TV-MA,45 min,"Animation, Action, Adventure",7.7,Not Available,"4,432"
232,Mandela,(2021),Not Available,140 min,"Comedy, Drama",8.5,Not Available,"4,428"
233,Virkar,(2021– ),Not Available,28 min,"Crime, Thriller",9.0,Not Available,"4,386"
234,Panic,(2021– ),TV-14,Not Available,"Adventure, Crime, Drama",6.4,Not Available,"4,351"
235,The Crew,(II) (2021– ),TV-14,Not Available,Comedy,6.6,Not Available,"4,316"
236, Invincible,(2021– ),TV-MA,45 min,"Animation, Action, Adventure",8.0,Not Available,"4,310"
237,Katla,(2021– ),TV-MA,Not Available,"Drama, Mystery, Sci-Fi",7.2,Not Available,"4,299"
238, Star Wars: The Bad Batch,(2021– ),TV-PG,70 min,"Animation, Action, Adventure",9.0,Not Available,"4,289"
239,Nayattu,(2021),Not Available,124 min,Thriller,8.2,Not Available,"4,259"
240,Ajeeb Daastaans,(2021),TV-MA,142 min,"Drama, Romance",6.7,Not Available,"4,248"
241,Land,(2021),PG-13,89 min,Drama,6.6,61,"4,222"
242, One Piece,(1999– ),TV-14,24 min,"Animation, Action, Adventure",9.4,Not Available,"4,214"
243,Biggie: I Got a Story to Tell,(2021),R,97 min,"Documentary, Biography, Music",6.9,62,"4,200"
244,Call Me Kat,(2021– ),TV-PG,21 min,Comedy,5.0,Not Available,"4,149"
245, Aspirants,(2021– ),Not Available,38 min,Drama,9.4,Not Available,"4,088"
246, The Family Man,(2019– ),TV-14,Not Available,"Action, Comedy, Drama",9.5,Not Available,"4,055"
247,History of Swear Words,(2021– ),TV-MA,124 min,"Documentary, Comedy",6.4,Not Available,"4,015"
248,Have You Ever Seen Fireflies?,(2021),TV-14,113 min,"Comedy, Drama",6.2,Not Available,"4,006"
249, The Family Man,(2019– ),TV-14,Not Available,"Action, Comedy, Drama",9.2,Not Available,"3,996"
250,Blue Miracle,(2021),TV-PG,95 min,"Adventure, Biography, Drama",6.7,48,"3,995"
251,Girl in the Basement,(2021),TV-14,88 min,"Crime, Thriller",6.4,Not Available,"3,994"
252,Justice Society: World War II,(2021),PG-13,84 min,"Animation, Action, Adventure",6.4,Not Available,"3,905"
253,Sardar Ka Grandson,(2021),TV-14,139 min,"Comedy, Drama, Romance",4.1,Not Available,"3,864"
254,His Story,(2021– ),Not Available,Not Available,Drama,9.7,Not Available,"3,855"
255,Nail Polish,(2021),Not Available,128 min,Drama,7.4,Not Available,"3,809"
256,The Underground Railroad,(2021– ),TV-MA,593 min,"Drama, History, War",7.3,Not Available,"3,798"
257,Sexify,(2021– ),TV-MA,40 min,"Comedy, Drama",6.5,Not Available,"3,789"
258, The Family Man,(2019– ),TV-14,Not Available,"Action, Comedy, Drama",9.6,Not Available,"3,787"
259,Top Class: The Life and Times of the Sierra Canyon Trailblazers,(2021– ),Not Rated,30 min,"Documentary, Sport",9.7,Not Available,"3,754"
260,I Am All Girls,(2021),TV-MA,107 min,"Crime, Drama, Mystery",5.8,Not Available,"3,748"
261, The Family Man,(2019– ),TV-14,Not Available,"Action, Comedy, Drama",9.3,Not Available,"3,707"
262,Chad,(2021– ),TV-MA,30 min,Comedy,2.7,Not Available,"3,686"
263, The Family Man,(2019– ),TV-14,Not Available,"Action, Comedy, Drama",9.5,Not Available,"3,609"
264,Fear of Rain,(2021),PG-13,109 min,"Drama, Horror, Thriller",5.9,Not Available,"3,591"
265,The Virtuoso,(2021),R,110 min,"Action, Crime, Thriller",4.9,24,"3,585"
